length_m,objectid,featuretype,description,class,name,operationalstatus,state,spatialconfidence,revised,ga_guid,capacitykv,comment_,st_lengthshape
8251.93947465,32,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Pindari to tee,Operational,New South Wales,5,2024/03/14 00:00:00+00,{741B8FAB-F842-42DF-80C3-B0CC6D3D3F1E},66,,0.077829072422949
38952.52578885,33,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Glen Innis to Emmaville,Operational,New South Wales,5,2024/03/14 00:00:00+00,{6B2012DE-E48E-4E3D-B311-4860889F120A},66,,0.366703858806045
13113.65781986,34,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Glen innes to tee (North),Operational,New South Wales,5,2024/03/14 00:00:00+00,{7B78BB7C-C308-44CA-969B-433FB1CA4E16},66,,0.129541412707716
9201.98465675,35,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Glen innes to tee,Operational,New South Wales,5,2024/03/14 00:00:00+00,{17455002-E317-4C01-97F7-7A931E0B25D1},66,,0.0905023891703396
74862.13398243,36,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Borthwick to Strathnairn,Operational,New South Wales,5,2024/03/14 00:00:00+00,{E62E2777-2616-4536-BDC3-D25B0DF3ABC0},66,,0.697341832402941
62063.66037434,37,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Borthwick to Warialda,Operational,New South Wales,5,2024/03/14 00:00:00+00,{C2052A0F-94FD-42DA-8288-C66FE4D24AFB},66,,0.617708236683951
44107.5569645,38,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Borthwick to Bundarra,Operational,New South Wales,5,2024/03/14 00:00:00+00,{246DD682-F019-40F3-B0E4-4BF60F5A2C0E},66,,0.401486825261401
40711.39765032,39,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Warialda to Bingara,Operational,New South Wales,5,2024/03/14 00:00:00+00,{89A36690-892F-4660-84FB-9C105A184925},66,,0.376595732291279
13279.67440663,40,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Moree to Moree Solar,Operational,New South Wales,5,2024/03/14 00:00:00+00,{174A0A16-ABC9-448F-BE17-2EA5BE697EBC},66,,0.125813854320062
46805.42100052,41,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Moree Solar to Bellata,Operational,New South Wales,5,2024/03/14 00:00:00+00,{43F1AABE-5DB4-4C54-967B-A61B543E1A4B},66,,0.42748249707112
58603.61158249,42,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Burren Junction to Merrywinebone,Operational,New South Wales,5,2024/03/14 00:00:00+00,{83AE637B-FADB-4A6C-9E06-DDCF2029F15A},66,,0.556124850440447
127881.67264702,43,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Walgett to Brewarrina,Operational,New South Wales,5,2024/03/14 00:00:00+00,{E8022084-29D6-4329-BA73-67A53A0D47D6},66,,1.31249169159077
76194.25334823,44,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Walgett to Lightning Ridge,Operational,New South Wales,5,2024/03/14 00:00:00+00,{9D1EE561-3ABF-4CE8-B7BC-6E74BDA24BCC},66,,0.713693743211418
18470.40616029,45,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Maclean to Yamba,Operational,New South Wales,5,2024/03/14 00:00:00+00,{E63EF3A6-8134-4DBB-81E7-0A2D71A5AF4D},66,,0.183963380608852
36655.3554706,46,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Maclean to Koolkhan,Operational,New South Wales,5,2024/03/14 00:00:00+00,{89639287-167E-4F1B-A875-CE3258255A59},66,,0.359993315454742
40150.96919114,47,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Maclean to Koolkhan (South East),Operational,New South Wales,5,2024/03/14 00:00:00+00,{F6A3096D-A9F9-4009-BC85-FBE0C7B53C46},66,,0.395403666991158
7155.03120103,48,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Koolkham to Grafton (East),Operational,New South Wales,5,2024/03/14 00:00:00+00,{39E9205B-4040-4301-A812-5AD7727BEA88},66,,0.0669004935439319
6253.83345223,49,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Koolkham to Grafton (West),Operational,New South Wales,5,2024/03/14 00:00:00+00,{5216BCC1-7B9F-4300-908A-32A153B6C914},66,,0.0577846788149358
33521.53512006,50,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,South Grafton to Nymboida,Operational,New South Wales,5,2024/03/14 00:00:00+00,{A191061D-2198-4324-A94B-154C0EC56FC9},66,,0.321384881638656
3579.9895977,51,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Boambee South to Sawtell,Operational,New South Wales,5,2024/03/14 00:00:00+00,{93A4AFAC-7B9C-449C-B1E0-3330FDEC0B70},66,,0.0347861714218128
20928.79499888,52,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Dorrigo to Ulong,Operational,New South Wales,5,2024/03/14 00:00:00+00,{538F83ED-D09A-4A3C-86B2-971CC687B4DE},66,,0.20785032994857
14823.02486827,53,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Ulong to Nana Glen,Operational,New South Wales,5,2024/03/14 00:00:00+00,{6ECBDDA0-E7FC-4CF2-A841-091E5F2587F9},66,,0.145496056852293
20588.06933614,54,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Nana Glen to Woolgoolga,Operational,New South Wales,5,2024/03/14 00:00:00+00,{178948D6-F1FA-48F5-A1CF-CACB01CA342E},66,,0.209581011458725
12517.52161249,55,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Coffs Harbour to nana Glen,Operational,New South Wales,5,2024/03/14 00:00:00+00,{D84D99FB-3599-4465-B91D-934D0E10CEC2},66,,0.115816836775632
11516.05165714,56,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead/Underground,Coffs Harbour to Coffs Harbour East,Operational,New South Wales,5,2024/03/14 00:00:00+00,{B2C02A42-C6AF-43D3-93DF-6B8737908854},66,,0.112949254523684
11207.3812241,57,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Coff harbour to Boambee North,Operational,New South Wales,5,2024/03/14 00:00:00+00,{258314F3-BA54-41FC-8A81-2414B135F614},66,,0.107856323769376
9947.22628942,58,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Coff harbour to Boambee North,Operational,New South Wales,5,2024/03/14 00:00:00+00,{8AE2D69F-4287-4ACC-B5BD-7E2B0758BB8D},66,,0.0964659095185992
6039.68202727,59,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Boambee North to Coffs Harbour East,Operational,New South Wales,5,2024/03/14 00:00:00+00,{3F6C5DAB-72CF-42B7-8B42-9D3A350BBBAD},66,,0.0596244684928099
12504.98527543,60,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Coffs Harbour East to Moonee Beach,Operational,New South Wales,5,2024/03/14 00:00:00+00,{0FA35AEC-B477-4E84-8287-540060FB47BE},66,,0.116887770567427
9476.52047454,61,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Mooneet Beach to Woolgoolga,Operational,New South Wales,5,2024/03/14 00:00:00+00,{4E04362A-ECF6-4F17-9E8E-F9732D4CDF07},66,,0.0905526669413469
59951.62556765,62,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Armidale to Walcha,Operational,New South Wales,5,2024/03/14 00:00:00+00,{E63760C0-EA35-48C8-AF6B-30EEEE17507F},66,,0.556785408846461
13669.926293,63,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Uralla to tee,Operational,New South Wales,5,2024/03/14 00:00:00+00,{994391E4-C2CE-4933-A490-12CC03A09B93},66,,0.136204935996335
39347.34686498,64,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Armidale to Oaky,Operational,New South Wales,5,2024/03/14 00:00:00+00,{ACB93023-AF54-442C-8682-6E003232B4C6},66,,0.400888732200866
4754.20083545,65,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Hillgrove to tee,Operational,New South Wales,5,2024/03/14 00:00:00+00,{5A11F1A5-A3BF-4405-A723-CCC15EC0EE1A},66,,0.042918344712028
12894.96112108,66,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Gunnedah to Gunnedah 132-66,Operational,New South Wales,5,2024/03/14 00:00:00+00,{2994CF5A-4D0E-4C25-964D-CE057027634B},66,,0.130569286067103
39148.00866864,67,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Tamworth to Bendemeer,Operational,New South Wales,5,2024/03/14 00:00:00+00,{6DC446B7-E77B-44EC-8A19-B9793F41A57C},66,,0.374553520394446
27184.62287389,68,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Tamworth to Currabubula,Operational,New South Wales,5,2024/03/14 00:00:00+00,{D4CC4933-0D48-49BC-A8FC-F571B93A3191},66,,0.266933829017859
29964.5988745,69,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Currabubula to Quirindi,Operational,New South Wales,5,2024/03/14 00:00:00+00,{795ECAA9-EB33-44DB-8671-59A5CCC6B27B},66,,0.280356784908298
51.89211494,70,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Warris Creek tee,Operational,New South Wales,5,2024/03/14 00:00:00+00,{3E342C8D-5457-4B92-AFCA-ECF52621EC8E},66,,0.000526687529791887
39124.49911355,71,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Tamworth to Duncans Creek,Operational,New South Wales,5,2024/03/14 00:00:00+00,{1A09B2A3-BE90-4A16-AD5E-5860A1B38D19},66,,0.374673138491953
48457.67980265,72,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Tamworth to Manilla,Operational,New South Wales,5,2024/03/14 00:00:00+00,{8C31DC9F-16C4-4229-B746-E6AA5ADE4EEE},66,,0.453900921736771
48560.45143682,73,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Manilla to Barraba,Operational,New South Wales,5,2024/03/14 00:00:00+00,{A858D379-4E8F-4F1F-872B-3E7ACB5A3436},66,,0.453763593634935
38963.38264473,74,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Beryl to Dunedoo,Operational,New South Wales,5,2024/03/14 00:00:00+00,{D4231BC1-9A7A-4537-90FC-56910F2A9651},66,,0.354823660495431
28851.7052165,75,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Dunedoo to Merrygoen,Operational,New South Wales,5,2024/03/14 00:00:00+00,{963CEFF7-32AC-4EA4-AA77-F98952F6FC1F},66,,0.282027159082358
65338.24973131,76,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Merrygoen to Coonabarabran,Operational,New South Wales,5,2024/03/14 00:00:00+00,{2506905D-FFC7-44D7-B2BA-28874A3EF571},66,,0.602292071100043
90590.28306136,77,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Gilgandra to Coonamble,Operational,New South Wales,5,2024/03/14 00:00:00+00,{96A7B756-2720-4D8F-BB38-9AD373E054B6},66,,0.838629032130364
59167.84207758,78,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Dubbo North to Gilgandra,Operational,New South Wales,5,2024/03/14 00:00:00+00,{35993012-AFBB-4537-AAD1-E6AC0FE4A0AE},66,,0.540634935180597
5624.288417,79,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Dubbo to Dubbo North (East),Operational,New South Wales,5,2024/03/14 00:00:00+00,{2022B16B-3B99-495D-9A81-A9DBCD3D7846},66,,0.053386201827364
47468.45456394,80,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Wellington Town to Dubbo east,Operational,New South Wales,5,2024/03/14 00:00:00+00,{3B68D004-93FF-4350-9670-CDA651B627FD},66,,0.461318379525477
60530.53716239,81,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Nevertire to Nyngan (South),Operational,New South Wales,5,2024/03/14 00:00:00+00,{BD91EFFC-10A5-427C-B23D-719254636F59},66,,0.612540011777359
55119.41846046,82,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Nyngan to Hermidale,Operational,New South Wales,5,2024/03/14 00:00:00+00,{B84132D9-E78F-4269-BCC9-22DDC48A999A},66,,0.578194405633412
75085.56089756,83,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Hermidale to Cobar,Operational,New South Wales,5,2024/03/14 00:00:00+00,{2C974C59-E3E9-4C71-B03C-A1C973480308},66,,0.786854793446933
79332.80023616,84,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Nyngan to Coolabah,Operational,New South Wales,5,2024/03/14 00:00:00+00,{2FF7902F-B2D6-4D68-BA74-8B40D983BE0B},66,,0.760544782127305
127902.23625211,85,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Coolabah to Bourke,Operational,New South Wales,5,2024/03/14 00:00:00+00,{85F3C1AF-B94D-43D0-AD49-F52956DB061C},66,,1.21787453864272
16640.00014735,86,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Gunnedah Boggabri tee,Operational,New South Wales,5,2024/03/14 00:00:00+00,{CF00852A-E524-4FAB-A5F9-5D2B1898E7A2},66,,0.159487350567922
89.367095,87,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Heron Creek to tee,Operational,New South Wales,5,2024/03/14 00:00:00+00,{EEF29E63-FD9B-4ADD-973C-9658CD5FF010},66,,0.00084337534663713
4425.95805475,88,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Kew to Heron Creek,Operational,New South Wales,5,2024/03/14 00:00:00+00,{B9B65671-0F39-48DA-B328-4C9A2A25DDA0},66,,0.0412868576595765
8002.34001438,89,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Kew to laurieton,Operational,New South Wales,5,2024/03/14 00:00:00+00,{A92BA574-37E7-4962-AA07-318A0119383A},66,,0.0821527579328533
44770.76786046,90,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Taree to Kew,Operational,New South Wales,5,2024/03/14 00:00:00+00,{D2508290-3C85-4D66-BFAB-E6DE7F62CE07},66,,0.438857266728387
29525.3582653,91,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Hallidays Point to Taree,Operational,New South Wales,5,2024/03/14 00:00:00+00,{C9722AD1-3748-4C54-87AF-7B06180C9D76},66,,0.285444568246048
21266.62722956,92,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Hallidays Point to Bahnock,Operational,New South Wales,5,2024/03/14 00:00:00+00,{BC18199C-3F44-415E-8046-F71A59CAB788},66,,0.20557802933489
11967.63613227,93,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Tuncurry to Hallidays Point,Operational,New South Wales,5,2024/03/14 00:00:00+00,{9798CA3D-F96C-4480-9566-63B66D878EC3},66,,0.111216716815629
43591.91331245,94,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead/Underground,Taree to Tuncurry,Operational,New South Wales,5,2024/03/14 00:00:00+00,{C83F18AF-6055-4687-8CAF-BEEB876CB67F},66,,0.420869617490127
